Nº,Tema,Slug do Artigo,Categoria,Texto de Tela,Sugestão de B-roll,Legenda,Hashtags
1,O medo do remédio,relato-medo-remedio,Relatos da Prática,MEDO DO REMÉDIO | NÃO É TEIMOSIA | É CONFIANÇA A CONSTRUIR,Consultório médico acolhedor; close em cartela de comprimidos sobre a mesa; paciente hesitante segurando a receita; médico conversando em tom calmo; mãos entregando um copo d’água.,"Medo de remédio psiquiátrico é mais comum (e mais compreensível) do que parece. Este relato mostra como a confiança, não a pressão, muda esse quadro. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #medodetratamento #psicofarmacos
12,Primeiros minutos de uma crise psiquiátrica,manejo-crise-psiquiatrica,Médicos & Enfermeiros,PRIMEIROS 5 MINUTOS | SEGURANÇA. CALMA. SEM CONFRONTO. | 188 CVV EM EMERGÊNCIA,Sala calma sendo preparada; mãos afastando objetos de uma mesa; pessoa falando pausadamente com gestos calmos; telefone discando um número de emergência.,O que fazer nos primeiros minutos de uma crise psiquiátrica aguda. Salve este vídeo. 📖 [LINK] 🆘 CVV 188 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #crisepsiquiatrica #primeirossocorros
13,Você está sobrecarregado como cuidador?,sobrecarga-cuidador-consulta,Médicos & Enfermeiros,3 SINAIS DE SOBRECARGA | CUIDAR DE SI NÃO É EGOÍSMO,Cuidador(a) esfregando os olhos de cansaço; pilha de medicamentos e organizador semanal; cuidador sentado à beira da cama do paciente; um respiro sozinho com uma xícara de chá.,Você é cuidador de alguém da família? Veja 3 sinais de que a sobrecarga já chegou perto do limite. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #sobrecargadocuidador #saudedocuidador
14,Depressão pós-parto: sinais que a família nota,saude-mental-perinatal-consulta,Médicos & Enfermeiros,A FAMÍLIA PERCEBE PRIMEIRO | 3 SINAIS DE DEPRESSÃO PÓS-PARTO,Mãe segurando o bebê recém-nascido com olhar distante; quarto de bebê em penumbra; família observando com preocupação; consulta de puerpério.,A família muitas vezes percebe a depressão pós-parto antes da própria mãe. Fique atento a esses sinais. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #depressaoposparto #maternidadereal
15,É a idade ou é depressão?,saude-mental-idoso-consulta,Médicos & Enfermeiros,É A IDADE OU É DEPRESSÃO? | A DIFERENÇA IMPORTA,Idoso sentado em poltrona olhando para o nada; mãos segurando uma bengala; consulta com exame cognitivo em prancheta; família visitando o idoso em casa.,Como diferenciar o envelhecimento normal de depressão em idosos — e por que essa diferença muda tudo. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #saudementaldoidoso #depressao
16,5 sinais de jogo patológico,jogo-patologico-rastreio,Médicos & Enfermeiros,5 SINAIS DE JOGO PATOLÓGICO,Tela de celular com app de apostas esportivas; mão passando cartão em caixa eletrônico; notificações de apostas piscando na tela; carteira vazia sobre a mesa.,5 sinais de que apostar deixou de ser lazer. Reconheceu algum? 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #jogopatologico #apostasonline
17,Sinais de compulsão alimentar que passam despercebidos,compulsao-alimentar-rastreio,Médicos & Enfermeiros,NÃO É SOBRE FOME | 3 SINAIS QUE PASSAM DESPERCEBIDOS,Geladeira sendo aberta de madrugada; embalagens vazias escondidas no lixo; pessoa comendo rapidamente e sozinha; espelho com reflexo desviado.,Compulsão alimentar tem sinais que passam despercebidos até por quem vive isso. Preste atenção. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #compulsaoalimentar #transtornoalimentar
18,Uso social ou dependência?,dependencia-quimica-rastreio-aps,Médicos & Enfermeiros,USO SOCIAL X DEPENDÊNCIA | 3 SINAIS DE ALERTA,Copo de bebida sendo servido repetidamente; mesa de bar com garrafas vazias; consulta médica com questionário de triagem; calendário com tentativas marcadas de parar.,Como saber se é uso social ou já é dependência? Veja os sinais de alerta. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #dependenciaquimica #alcoolismo
19,Quando psicoterapia não é suficiente,quando-encaminhar-aps,Médicos & Enfermeiros,TERAPIA NÃO BASTA? | QUANDO PROCURAR UM PSIQUIATRA,"Divã de consultório de psicoterapia; encaminhamento médico sendo escrito; dois profissionais de saúde conversando sobre um caso; paciente entre duas cadeiras, simbolizando psicólogo e psiquiatra.",Como saber se é hora de somar acompanhamento psiquiátrico à sua psicoterapia. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #psicoterapia
20,Esquecimento normal ou sinal de alerta?,neuropsicologia-pratica-clinica,Médicos & Enfermeiros,ESQUECIMENTO NORMAL X SINAL DE ALERTA,Mão procurando chaves espalhadas na mesa; teste neuropsicológico com formas geométricas; idoso fazendo palavras cruzadas; neuropsicólogo aplicando avaliação.,Quando o esquecimento deixa de ser normal e passa a ser sinal de alerta? 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #neuropsicologia #memoria
21,Por que o psiquiatra ajusta a dose aos poucos,psicofarmacos-aps-medicos,Médicos & Enfermeiros,"POR QUE A DOSE SOBE AOS POUCOS | SEGURANÇA, NÃO INDECISÃO",Cartela de comprimidos com doses crescentes; médico ajustando uma receita; gráfico de titulação de dose na tela do computador; paciente recebendo explicação com calma.,"Por que o ajuste de dose em psicofármacos é gradual — e por que isso é bom sinal, não demora desnecessária. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #psicofarmacos #tratamentopsiquiatrico
22,O que ninguém conta sobre atender saúde mental na graduação,realidade-saude-mental-aps,Residentes & Estudantes,A FACULDADE ENSINA O PROTOCOLO | A PRÁTICA É OUTRA HISTÓRIA,Residente correndo entre consultórios; sala de espera lotada de UBS; relógio marcando poucos minutos de consulta; pilha de prontuários sobre a mesa.,O que ninguém te conta sobre atender saúde mental na Atenção Primária — além do que a faculdade ensina. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #residenciamedica #atencaoprimaria #medestudante
23,Como saber se você chegou ao burnout,burnout-aps,Geral,CANSAÇO X BURNOUT | 3 SINAIS DE ALERTA,Profissional de saúde de jaleco sentado exausto no corredor; xícara de café esquecida esfriando; relógio de plantão avançando; olhos cansados refletidos na tela do computador.,Quem cuida da Atenção Primária também precisa de cuidado. Sinais de burnout que merecem atenção. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #burnout #saudedotrabalhador
24,3 mitos sobre remédio psiquiátrico,psicofarmacos-mitos-culturais,Geral,MITO 1 | MITO 2 | MITO 3,"Referência estilizada a filmes antigos sobre ""loucura""; cartela de remédio ao lado de um livro velho; médico balançando a cabeça em negação bem-humorada; texto animado desmontando cada mito.",3 mitos sobre remédio psiquiátrico que ainda afastam muita gente do tratamento certo. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #mitosdesaudemental #psicofarmacos
25,Compulsão alimentar não é falta de força de vontade,compulsao-alimentar,Pacientes & Famílias,NÃO É FALTA DE FORÇA DE VONTADE | É UM TRANSTORNO COM TRATAMENTO,Pessoa se olhando no espelho com expressão de autocrítica; prato de comida sendo empurrado para o lado; mãos entrelaçadas em gesto de acolhimento; consulta com profissional de saúde.,Compulsão alimentar não é sobre disciplina. É sobre um ciclo que pode (e deve) ser tratado. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #compulsaoalimentar #semjulgamento
26,Quem cuida também precisa ser cuidado,saude-mental-cuidador,Pacientes & Famílias,"E VOCÊ, COMO ESTÁ? | CUIDAR DE SI TAMBÉM É CUIDAR DELE(A)",Cuidador(a) respirando fundo numa pausa; mãos segurando uma xícara de chá em momento de respiro; idoso e cuidador sorrindo juntos; grupo de apoio a cuidadores reunido.,"Se você cuida de alguém, esse recado é pra você: cuidar de si também importa. 💙 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #cuidadorfamiliar #saudedocuidador
27,3 coisas para nunca fazer numa crise psiquiátrica,crise-psiquiatrica-familia,Pacientes & Famílias,NUNCA FAÇA ISSO NUMA CRISE,Sala de estar com tensão familiar; mãos afastando objetos perigosos de uma mesa; pessoa falando ao telefone pedindo ajuda; família se abraçando depois que a crise passa.,3 erros comuns durante uma crise psiquiátrica na família — e o que fazer no lugar. Salve este vídeo. 📖 [LINK] 🆘 CVV 188 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #crisepsiquiatrica #familia
28,"Dependência química é doença, não caráter",dependencia-quimica,Pacientes & Famílias,NÃO É FALTA DE CARÁTER | É DOENÇA. E TEM TRATAMENTO.,Grupo de apoio em círculo de cadeiras; mãos segurando um copo de água em vez de uma bebida; calendário com dias marcados de sobriedade; consulta de acompanhamento em CAPS AD.,Dependência química não é sobre caráter. É sobre uma doença tratável — e ninguém deveria enfrentar isso sozinho. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #dependenciaquimica #recuperacao
29,Por que professores estão adoecendo,professores-saude-mental,Geral,QUEM FORMA PESSOAS TAMBÉM ADOECE | SINAIS DE ALERTA,Sala de aula vazia após o horário; professor organizando provas sozinho à noite; quadro branco cheio de anotações; professor massageando as têmporas na sala dos professores.,O adoecimento silencioso de quem forma pessoas: saúde mental de professores merece mais atenção. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #saudementaldocente #professores
30,A pergunta que salva vidas,risco-suicidio-aps,Médicos & Enfermeiros,PERGUNTAR NÃO PLANTA A IDEIA | PERGUNTAR PODE SALVAR | 188 CVV,Mãos segurando um telefone prestes a discar; consulta médica com olhar atento e acolhedor; fita simbólica do Setembro Amarelo; cartaz do CVV 188 em ambiente de saúde.,"Perguntar sobre suicídio não planta a ideia — o silêncio é que é perigoso. Sinais de alerta que valem atenção. 📖 [LINK] 🆘 CVV 188 (24h, gratuito) 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #setembroamarelo #prevencaodosuicidio
